Product|No_|Sortorder No_|Estimated Sortorder No_|Date of Reference Filter|Category Filter|Client Filter|Hotel Filter|Contract Status Filter|Brand Filter|Chain Filter|MuseID Filter|Country Filter|Continent Filter|Is Country Rule|Description|Company Filter|Rate Type Filter|Corporate Rate Discount Filter|Multisource|Segment Filter|Commission Type Filter|GTC Rejected Filter|Rate Plan Code Filter|Reservationsource Group Filter
0|43|48|1100000100|0|0|1|1|0|0|0|1|0|0|0|Wientourismus|0|0|0|0|0|0|0|0|0
0|44|50|1000000000|0|0|1|0|0|0|0|0|0|0|0|Widget|0|0|0|0|0|0|0|0|0
0|46|28|100000000|0|0|0|1|0|0|0|0|0|0|0|Special Agreement|0|0|0|0|0|0|0|0|0
0|48|19|10000000|0|0|0|0|0|1|0|0|0|0|0|Brand|0|0|0|0|0|0|0|0|0
0|49|21|10000010|0|0|0|0|0|1|0|0|1|0|0|Brand je Land|0|0|0|0|0|0|0|0|0
0|50|20|10000001|0|0|0|0|0|1|0|0|0|1|0|Brand je Kontinent|0|0|0|0|0|0|0|0|0
0|57|7|1000000|0|0|0|0|0|0|1|0|0|0|0|Chain|0|0|0|0|0|0|0|0|0
0|58|17|1000010|0|0|0|0|0|0|1|0|1|0|0|Chain je Land|0|0|0|0|0|0|0|0|0
0|59|11|1000001|0|0|0|0|0|0|1|0|0|1|0|Chain je Kontinent|0|0|0|0|0|0|0|0|0
0|60|2|10|0|0|0|0|0|0|0|0|1|0|1|Länderregel|0|0|0|0|0|0|0|0|0
0|61|1|1|0|0|0|0|0|0|0|0|0|1|1|Kontinentregel|0|0|0|0|0|0|0|0|0
0|62|0|0|0|0|0|0|0|0|0|0|0|0|0|Default|0|0|0|0|0|0|0|0|0
0|63|3|111010|1|1|0|0|1|0|0|0|1|0|0|AGB 2012|0|0|0|0|0|0|0|0|0
0|64|6|100|0|0|0|0|0|0|0|1|0|0|0|Pegasus-Regel|0|0|0|0|0|0|0|0|0
0|65|26|11000010|0|0|0|0|0|1|1|0|1|0|0|Brand/Chain je Land|0|0|0|0|0|0|0|0|0
0|66|24|11000001|0|0|0|0|0|1|1|0|0|1|0|Brand/Chain je Kontinent|0|0|0|0|0|0|0|0|0
0|67|22|11000000|0|0|0|0|0|1|1|0|0|0|0|Brand/Chain|0|0|0|0|0|0|0|0|0
0|68|33|10000100|0|0|0|0|0|1|0|1|0|0|0|Muse/Brand|0|0|0|0|0|0|0|0|0
0|69|31|1000100|0|0|0|0|0|0|1|1|0|0|0|Muse/Chain|0|0|0|0|0|0|0|0|0
0|71|10|1010000|1|0|0|0|0|0|1|0|0|0|0|Chain n. Reservierunsdat.|0|0|0|0|0|0|0|0|0
0|73|34|11000100|0|0|0|0|0|1|1|1|0|0|0|Muse/Brand/Chain|0|0|0|0|0|0|0|0|0
0|75|23|11010000|1|0|0|0|0|1|1|0|0|0|0|Brand/Chain n. Reservierunsdat.|0|0|0|0|0|0|0|0|0
0|76|27|11010010|1|0|0|0|0|1|1|0|1|0|0|Brand/Chain je Land n. Res.dat.|0|0|0|0|0|0|0|0|0
0|77|25|11010001|1|0|0|0|0|1|1|0|0|1|0|Brand/Chain je Kont. n. Res.dat.|0|0|0|0|0|0|0|0|0
0|81|32|1010100|1|0|0|0|0|0|1|1|0|0|0|Chain/Muse n. Reservierungsdatum|0|0|0|0|0|0|0|0|0
0|84|8|1001000|0|1|0|0|0|0|1|0|0|0|0|Chain n. Buchungskanal|0|0|0|0|0|0|0|0|0
0|85|16|1001001|0|1|0|0|0|0|1|0|0|1|0|Chain je Kontinent n. Buchungskanal|0|0|0|0|0|0|0|0|0
0|86|35|11010101|1|0|0|0|0|1|1|1|0|1|0|Brand/Chain je Kont. u. Muse n. Res.dat.|0|0|0|0|0|0|0|0|0
0|87|30|101|0|0|0|0|0|0|0|1|0|1|0|Muse-Kontinent|0|0|0|0|0|0|0|0|0
0|89|47|600000000|0|0|0|1|0|0|0|0|0|0|0|Company Agreement|1|0|0|0|0|0|0|0|0
0|90|40|501010000|1|0|0|0|0|0|1|0|0|0|0|Chain Company Agreement|1|0|0|0|0|0|0|0|0
0|91|15|1010001|1|0|0|0|0|0|1|0|0|1|0|Chain je Kontinent n. Reservierungsdatum|0|0|0|0|0|0|0|0|0
0|92|49|10|0|0|0|0|0|0|0|0|1|0|1|Corporate Club Rate|0|1|0|0|0|0|0|0|0
0|93|39|1010000|1|0|0|0|0|0|1|0|0|0|0|Corporate Discount Agreement|0|0|1|0|0|0|0|0|0
0|94|9|1011000|1|1|0|0|0|0|1|0|0|0|0|Chain n. Buchungskanal n. Res.-Dat.|0|0|0|0|0|0|0|0|0
0|95|29|100011000|1|1|0|1|0|0|0|0|0|0|0|Hotel n. Buchungskanal n. Res.-Dat.|0|0|0|0|0|0|0|0|0
0|96|59|100|0|0|0|0|0|0|0|1|0|0|0|Amadeus Multisource|0|0|0|1|0|0|0|0|0
0|97|38|11010010|1|0|0|0|0|1|1|0|1|0|0|CCR Chain/Brand n. Res.datum|0|1|0|0|0|0|0|0|0
0|98|42|1010100|1|0|0|0|0|0|1|1|0|0|0|Chain Segment MUSE (n. Reservierungsdatum)|0|0|0|0|1|0|0|0|0
0|99|44|1010100|1|0|0|0|0|0|1|1|0|0|0|Corporate Segment Discount Agreement|0|0|1|0|1|0|0|0|0
0|100|12|1000001|0|0|0|0|0|0|1|0|0|1|0|Kontinent Chain Segment|0|0|0|0|1|0|0|0|0
0|101|45|1010010|1|0|0|0|0|0|1|0|1|0|0|Land Chain Segment n. Res.datum|0|0|0|0|1|0|0|0|0
0|102|46|11000110|0|0|0|0|0|1|1|1|1|0|0|Land Chain Brand Muse ID Segment|0|0|0|0|1|0|0|0|0
0|103|95|100|0|0|0|0|0|0|0|1|0|0|0|EAN (OBE)|0|0|0|0|0|0|0|0|0
0|104|43|1000100|0|0|0|0|0|0|1|1|0|0|0|Chain Segment MUSE|0|0|0|0|1|0|0|0|0
0|105|18|1000110|0|0|0|0|0|0|1|1|1|0|0|Chain je Land MUSE|0|0|0|0|0|0|0|0|0
0|106|14|1000101|0|0|0|0|0|0|1|1|0|1|0|Chain je Kontinent MUSE (ACCOR only)|0|0|0|0|0|0|0|0|0
0|107|4|110010|1|0|0|0|1|0|0|0|1|0|0|TAF AGB 2020 & 2024|0|0|0|0|0|1|1|0|0
0|108|74|500110000|1|0|0|0|1|0|0|0|0|0|0|TAF AGB 2020 Exclude|1|0|0|0|0|1|0|0|0
0|109|53|100|0|0|0|0|0|0|0|1|0|0|0|RAC/Muse|0|0|0|0|0|0|0|1|0
0|110|54|1000000|0|0|0|0|0|0|1|0|0|0|0|RAC/Chain|0|0|0|0|0|0|0|1|0
0|111|55|1000100|0|0|0|0|0|0|1|1|0|0|0|RAC/Chain Muse|0|0|0|0|0|0|0|1|0
0|112|56|10100|1|0|0|0|0|0|0|1|0|0|0|RAC/Muse n. Reservierungsdatum|0|0|0|0|0|0|0|1|0
0|113|57|1010000|1|0|0|0|0|0|1|0|0|0|0|RAC/Chain n. Reservierungsdatum|0|0|0|0|0|0|0|1|0
0|114|58|1010100|1|0|0|0|0|0|1|1|0|0|0|RAC/Chain Muse n. Reservierungsdatum|0|0|0|0|0|0|0|1|0
0|115|61|1000100|0|0|0|0|0|0|1|1|0|0|0|MS Muse Chain|0|0|0|1|0|0|0|0|0
0|116|62|1000101|0|0|0|0|0|0|1|1|0|1|0|MS Muse Chain Kontinent|0|0|0|1|0|0|0|0|0
0|117|63|1000110|0|0|0|0|0|0|1|1|1|0|0|MS Muse Chain Land|0|0|0|1|0|0|0|0|0
0|118|64|11000100|0|0|0|0|0|1|1|1|0|0|0|MS Muse Chain Brand|0|0|0|1|0|0|0|0|0
0|119|76|600110000|1|0|0|1|1|0|0|0|0|0|0|TAF AGB 2020 Exclude H_KEY+F_KEY|1|0|0|0|0|1|1|0|0
0|120|72|11110100|1|0|0|0|1|1|1|1|0|0|0|TAF AGB 2020 Exclude Chain Brand Muse Contract|0|0|0|0|0|1|1|0|0
0|121|71|11110000|1|0|0|0|1|1|1|0|0|0|0|TAF AGB 2020 Exclude Chain Brand Contract|0|0|0|0|0|1|1|0|0
0|122|70|1110100|1|0|0|0|1|0|1|1|0|0|0|TAF AGB 2020 Exclude Chain Muse Contract|0|0|0|0|0|1|1|0|0
0|123|69|1110000|1|0|0|0|1|0|1|0|0|0|0|TAF AGB 2020 Exclude Chain Contract|0|0|0|0|0|1|1|0|0
0|124|68|11000100|0|0|0|0|0|1|1|1|0|0|0|TAF AGB 2020 Exclude Chain Brand Muse|0|0|0|0|0|1|0|0|0
0|125|67|11010000|1|0|0|0|0|1|1|0|0|0|0|TAF AGB 2020 Exclude Chain Brand|0|0|0|0|0|1|1|0|0
0|126|66|1010100|1|0|0|0|0|0|1|1|0|0|0|TAF AGB 2020 Exclude Chain Muse|0|0|0|0|0|1|1|0|0
0|127|65|1010000|1|0|0|0|0|0|1|0|0|0|0|TAF AGB 2020 Exclude Chain|0|0|0|0|0|1|1|0|0
0|128|78|110100|1|0|0|0|1|0|0|1|0|0|0|TAF AGB 2020 Exclude Muse Contract|0|0|0|0|0|1|1|0|0
0|129|52|10|0|0|0|0|0|0|0|0|1|0|1|RAC/Land|0|0|0|0|0|0|0|1|0
0|130|51|1|0|0|0|0|0|0|0|0|0|1|1|RAC/Kontinent|0|0|0|0|0|0|0|1|0
0|131|79|501000000|0|0|0|0|0|0|1|0|0|0|0|SoC/Firma Chain|1|0|0|0|0|0|0|1|0
0|132|80|600000000|0|0|0|1|0|0|0|0|0|0|0|SoC/Firma Hotel|1|0|0|0|0|0|0|1|0
0|133|81|501000000|0|0|0|0|0|0|1|0|0|0|0|SoC/Firma Chain Nego|1|0|0|0|0|1|0|1|0
0|134|82|600000000|0|0|0|1|0|0|0|0|0|0|0|SoC/Firma Hotel Nego|1|0|0|0|0|1|0|1|0
0|135|37|100010100|1|0|0|1|0|0|0|1|0|0|0|Hotel/Muse n. Reservierungsdatum|0|0|0|0|0|0|0|0|0
1|136|0|0|0|0|0|0|0|0|0|0|0|0|0|Default|0|0|0|0|0|0|0|0|0
1|137|1|500000000|0|0|0|0|0|0|0|0|0|0|0|TAF nach F_KEY|1|0|0|0|0|0|0|0|0
1|138|2|500000000|0|0|0|0|0|0|0|0|0|0|0|TAF nach F_KEY+Reservierungsquelle|1|0|0|0|0|0|0|0|1
3|139|1|1000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain|0|0|0|0|0|0|0|0|0
2|140|5|1000010|0|0|0|0|0|0|1|0|1|0|0|TAF Chain, Land|0|0|0|0|0|0|0|0|0
2|141|6|1000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain, Segment|0|0|0|0|1|0|0|0|0
2|142|7|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Muse|0|0|0|0|0|0|0|0|0
2|143|9|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Segment, Muse|0|0|0|0|1|0|0|0|0
2|144|10|501000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain, F_KEY|1|0|0|0|0|0|0|0|0
2|145|11|1000000000|0|0|1|0|0|0|0|0|0|0|0|TAF K_KEY|0|0|0|0|0|0|0|0|0
3|146|1|1000100|0|0|0|0|0|0|1|1|0|0|0|Partner TAF Chain, MUSE|0|0|0|0|0|0|0|0|0
3|147|3|1000100|0|0|0|0|0|0|1|1|0|0|0|Partner TAF Chain, MUSE, Segment, Commission Type|0|0|0|0|1|1|0|0|0
4|148|1|1000100|0|0|0|0|0|0|1|1|0|0|0|Zusatz Kommission Chain, MUSE|0|0|0|0|0|0|0|0|0
5|149|1|1000000|0|0|0|0|0|0|1|0|0|0|0|PFP Chain, Segment|0|0|0|0|1|0|0|0|0
6|150|1|1000000|0|0|0|0|0|0|1|0|0|0|0|Override Chain, Segment|0|0|0|0|1|0|0|0|0
7|151|1|1000000|0|0|0|0|0|0|1|0|0|0|0|Sourcing Fee Chain|0|0|0|0|0|0|0|0|0
2|152|4|1000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain Commission Type|0|0|0|0|0|1|0|0|0
2|154|8|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Commission Type, Muse|0|0|0|0|0|1|0|0|0
