Code|Type|Country Code|Chain|Brand|Owner|Partner No_|Contract Status|Contract Grp_ Code|Contract Code|Valid from|Valid to|Enabled|Approved|Inserted by User|Inserted at|Modified by User|Modified at|Hotel No_|Old Code|Continent|Date of Reference|Category|MuseID|Parent Business Rule Code|Searchorder No_|DB2 Rule|timestamp Source|Company No_|Preferred|Rate Type|Corporate Rate Discount|Contract Code w_o Breakfast|Contract Code Net Sales|Contract Code Net Logis|Segment|Commission Type|TAF Contract Code|GTC Status|Rate Plan Code|Differing Customer No_|Product|Source Class|Accounting Interval|Starting Date|Shortcut Dimension 1 Code|Copied from Business Rule Code
11305|0|10||||||GTC|C14551|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|NAV|2022-09-27 08:31:49.613000000||1||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11331|0|269||||||GTC|C14551|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:37.180000000||37||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11338|0|46||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:37.663000000||44||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11364|0|1||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:39.410000000||83||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11377|0|91||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:40.217000000||96||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11391|0|198||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:41.040000000||110||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11394|0|157||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:41.233000000||113||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11398|0|165||||||GTC|C12238|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:41.487000000||117||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11411|0|18||||||GTC|C14555|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:42.283000000||130||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11426|0|35||||||GTC|C14555|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:43.257000000||145||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11444|0|59||||||GTC|C14558|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:44.423000000||163||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11454|0|101||||||GTC|C11487|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:45.073000000||173||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11457|0|103||||||GTC|C14555|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:45.270000000||176||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
11511|0|70||||||GTC|C14556|2009-01-01 00:00:00|2999-12-31 00:00:00|1|1||1753-01-01 00:00:00|TMA04|2017-01-09 10:46:48.767000000||230||0|0|||60|0|1753-01-01 00:00:00||0||0||||0|0||0|||0|0|0|1753-01-01 00:00:00||
