Code|Type|Valid from|Inserted by User|Inserted at|Modified by User|Modified at|Description|Model|Value %|Value Total (LCY)|Contract Calc_ Func_ Code|Locked|User ID|No_ Series|Currency Code|Limit|Deviating Cost Unit 1|Deviating Cost Unit 2|Included Value for Cost Unit 2
C06741|0|2010-01-01 00:00:00|NAVSQL|2011-07-31 22:51:03.297000000|TMA04|2011-12-05 14:31:36.320000000|% netto Logis 14,00|0|14,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C18917|0|2015-11-27 00:00:00|TMA04|2017-01-17 12:26:57.573000000||1753-01-01 00:00:00|Percent net Sales|0|8,80000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C19199|0|2015-10-22 00:00:00|TMA04|2017-01-17 14:49:25.587000000||1753-01-01 00:00:00|Percent|0|7,83000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C10928|0|2003-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-12-13 16:35:34.607000000|Prozent 10.00|0|10,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C11843|0|2009-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-03-09 11:02:14.663000000|Prozent 10.00|0|10,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C11845|0|1753-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-03-09 11:04:18.247000000|% netto Logis 10.00|0|10,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C27537|0|1753-01-01 00:00:00|MDC01|2021-01-28 14:08:48.100000000|TMA04|2021-05-10 14:30:53.723000000|2,25 USD per RN|1|,00000000000000000000|2,25000000000000000000|21|0||AGCONTRACT|USD|1000,00000000000000000000|||,00000000000000000000
C22422|0|2017-12-19 00:00:00|SDA03|2018-08-31 15:22:05.287000000|TMA04|2021-05-04 17:28:39.743000000|Percent net lodging 3,5%|0|3,50000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C22546|0|2018-11-01 00:00:00|TMA04|2018-11-27 11:28:06.163000000|TMA04|2018-11-27 11:28:48.157000000|ACCOR fix per RN 562 KZT|1|,00000000000000000000|562,00000000000000000000|11|0||AGCONTRACT|KZT|,00000000000000000000|||,00000000000000000000
C09416|0|2011-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-12-13 16:35:30.200000000|% Nettoumsatz 15.00|0|15,00000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C09732|0|2011-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-12-13 16:35:29.840000000|Prozent 15.00|0|15,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C23695|0|2019-10-15 00:00:00|JFI02|2020-01-07 10:21:30.087000000|JFI02|2020-01-07 10:21:42.463000000|IHG OTA Japan|0|12,03000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C23728|0|1753-01-01 00:00:00|TMA04|2020-01-27 15:39:41.980000000|TMA04|2020-01-27 15:40:03.037000000|20 CNY TAF per Roomnight (limited)|1|,00000000000000000000|20,00000000000000000000|21|0||AGCONTRACT|CNY|5,00000000000000000000|||,00000000000000000000
C23736|0|2020-01-01 00:00:00|JFI02|2020-01-30 13:41:37.347000000|JFI02|2020-01-30 13:42:16.930000000|4,50 EUR TAF per net booking|1|,00000000000000000000|4,50000000000000000000|21|0||AGCONTRACT|EUR|1,00000000000000000000|||,00000000000000000000
C26363|0|2017-02-15 00:00:00|NMU04|2020-06-22 15:34:08.570000000|TMA04|2021-07-26 13:34:06.737000000|0%|0|,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C13709|0|2010-08-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-03-09 11:01:07.723000000|Prozent 13,00|0|13,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14547|0|2011-01-01 00:00:00||1753-01-01 00:00:00||1753-01-01 00:00:00|Prozent 0,00|0|,00000000000000000000|,00000000000000000000|1|0|MIGRATION|||,00000000000000000000|||,00000000000000000000
C14567|0|2009-01-01 00:00:00||1753-01-01 00:00:00||1753-01-01 00:00:00|% netto Logis 10,00|0|10,00000000000000000000|,00000000000000000000|8|0|MIGRATION|||,00000000000000000000|||,00000000000000000000
C14568|0|2009-07-01 00:00:00||1753-01-01 00:00:00||1753-01-01 00:00:00|% netto Logis 15,00|0|15,00000000000000000000|,00000000000000000000|8|0|MIGRATION|||,00000000000000000000|||,00000000000000000000
C14572|0|2007-01-01 00:00:00|NAV|2011-09-19 10:46:56.063000000||1753-01-01 00:00:00|Percent 13|0|13,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14599|0|1753-01-01 00:00:00|BYO01|2011-11-29 14:30:16.393000000||1753-01-01 00:00:00|Percent net lodging|0|10,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14603|0|2011-03-22 00:00:00|MEN01|2011-11-30 10:19:36.850000000||1753-01-01 00:00:00|Percent net lodging|0|5,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14662|0|2011-10-14 00:00:00|VKR01|2011-12-13 14:11:26.013000000||1753-01-01 00:00:00|Precent w/o Breakfast|0|15,00000000000000000000|,00000000000000000000|4|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14667|0|2011-10-20 00:00:00|SCA05|2011-12-17 11:20:03.293000000|TMA04|2013-08-05 09:14:12.063000000|Corporate Rate|0|,00000000000000000000|,00000000000000000000|12|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14680|0|2011-11-08 00:00:00|TMA03|2011-12-22 10:31:27.117000000|TMA04|2013-08-05 09:14:13.127000000|Corporate Rate|0|,00000000000000000000|,00000000000000000000|12|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14726|0|2011-09-15 00:00:00|NSC02|2012-01-17 14:58:34.180000000||1753-01-01 00:00:00|Percent net lodging|0|11,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14744|0|2011-08-05 00:00:00|NSC02|2012-01-19 11:06:51.233000000||1753-01-01 00:00:00|Percent net Sales|0|2,00000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14848|0|2010-05-03 00:00:00|NSC02|2012-04-26 08:01:39.763000000||1753-01-01 00:00:00|Percent net lodging|0|11,50000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C14869|0|2011-11-20 00:00:00|SDO01|2012-05-24 09:26:41.950000000|TMA04|2013-08-05 09:13:32.187000000|Corporate Rate|0|,00000000000000000000|,00000000000000000000|12|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C15031|0|2012-11-27 00:00:00|MEN01|2013-01-17 09:28:55.267000000||1753-01-01 00:00:00|Precent w/o Breakfast|0|15,75000000000000000000|,00000000000000000000|4|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C15071|0|2012-11-21 00:00:00|JRI01|2013-03-05 11:26:24.567000000|TMA04|2013-08-02 10:57:22.837000000|Percent|0|12,00000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C15072|0|2013-01-07 00:00:00|MEN01|2013-03-08 16:10:40.333000000||1753-01-01 00:00:00|Percent net lodging|0|10,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C15219|0|2013-01-28 00:00:00|MSA06|2014-04-29 09:30:33.613000000||1753-01-01 00:00:00|Percent|0|2,75000000000000000000|,00000000000000000000|1|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C15274|0|2015-07-24 00:00:00|NAV|2015-08-01 06:48:34.057000000||1753-01-01 00:00:00|Percent net lodging + Breakfast 16|0|16,00000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C20970|0|2017-05-03 00:00:00|NAV|2017-06-01 03:50:36.580000000||1753-01-01 00:00:00|Percent net lodging + Breakfast 16|0|16,00000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C19194|0|2016-01-07 00:00:00|TMA04|2017-01-17 14:21:56.793000000||1753-01-01 00:00:00|Percent net Sales|0|10,60000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C11394|0|2010-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|TMA04|2012-03-09 10:58:38|% Nettoumsatz 15.00|0|15,00000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C11540|0|2011-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|NAV|2012-12-18 13:21:16.877000000|% netto Logis 15.00|0|15,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C27512|0|2021-01-01 00:00:00|TMA04|2021-01-26 09:35:32.067000000|TMA04|2021-01-26 09:40:42.303000000|1,5% TAF Omni Hotels|0|1,50000000000000000000|,00000000000000000000|10|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C28483|0|1753-01-01 00:00:00|IRI01|2021-05-27 16:35:02.353000000|IRI01|2021-05-27 16:35:50.997000000|3 EUR TAF per RN|1|,00000000000000000000|3,00000000000000000000|21|0||AGCONTRACT|EUR|1000,00000000000000000000|||,00000000000000000000
C22537|0|2018-11-01 00:00:00|TMA04|2018-11-27 11:21:59.187000000|TMA04|2018-11-27 11:22:32.930000000|ACCOR fix per RN 7 ARS|1|,00000000000000000000|7,00000000000000000000|11|0||AGCONTRACT|ARS|,00000000000000000000|||,00000000000000000000
C22543|0|2018-11-01 00:00:00|TMA04|2018-11-27 11:25:54.093000000|TMA04|2018-11-27 11:36:24.347000000|ACCOR fix per RN 5 USD|1|,00000000000000000000|5,00000000000000000000|11|0||AGCONTRACT|USD|,00000000000000000000|||,00000000000000000000
C22555|0|2018-11-01 00:00:00|TMA04|2018-11-27 11:33:35.243000000|TMA04|2018-11-27 11:34:06.383000000|ACCOR fix per RN 3,73 USD|1|,00000000000000000000|3,73000000000000000000|11|0||AGCONTRACT|USD|,00000000000000000000|||,00000000000000000000
C09586|0|2008-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|NAV|2012-12-18 23:58:23.487000000|% netto Logis 13.00|0|13,00000000000000000000|,00000000000000000000|8|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
C10125|0|2007-01-01 00:00:00|MIGRATION|2011-07-31 00:00:00|NAV|2012-12-18 17:15:51.077000000|Prozent ohne Frstk 6.00|0|6,00000000000000000000|,00000000000000000000|4|0||AGCONTRACT||,00000000000000000000|||,00000000000000000000
