Country Code|Hotel No|Post Code|Room price limit|Roomprice tax %|Breakfast tax %|Deduction type|Deductible amount
|102122|||21,0000000000000000|||
|106815|||20,0000000000000000|||
|106826|||20,0000000000000000|||
|107415|||20,0000000000000000|||
|109225|||20,0000000000000000|||
|1123|||20,0000000000000000|||
|127393|||20,0000000000000000|||
|142878|||20,0000000000000000|||
|146714|||20,0000000000000000|||
|150747|||20,0000000000000000|||
|159985|||20,0000000000000000|||
|163433|||20,0000000000000000|||
|171252|||20,0000000000000000|||
|171258|||20,0000000000000000|||
|17371|||20,0000000000000000|||
|215042|||12,5000000000000000|||
|215429|||17,0000000000000000|||
|217165|||20,0000000000000000|||
|217176|||20,0000000000000000|||
|217179|||20,0000000000000000|||
|217181|||20,0000000000000000|||
|217182|||29,5000000000000000|||
|217190|||20,0000000000000000|||
|217560|||20,0000000000000000|||
|217561|||20,0000000000000000|||
|217758|||22,1500000000000000|||
|217767|||21,5000000000000000|||
|223763|||20,9000000000000000|||
|24207|||19,0000000000000000|||
|258689|||20,0000000000000000|||
|373521|||20,0000000000000000|||
|389929|||19,0000000000000000|||
|392268|||20,0000000000000000|||
|398032|||20,0000000000000000|||
|402983|||20,0000000000000000|||
|417359|||24,5000000000000000|||
|427998|||20,0000000000000000|||
|430791|||20,0000000000000000|||
|43159|||20,0000000000000000|||
|431953|||20,0000000000000000|||
|444669|||20,0000000000000000|||
|45155|||20,0000000000000000|||
|458637|||20,0000000000000000|||
|459083|||16,2000000000000000|||
|459686|||20,0000000000000000|||
|518823|||20,0000000000000000|||
|535371|||20,0000000000000000|||
|538829|||21,5000000000000000|||
|539471|||20,0000000000000000|||
|540075|||19,9000000000000000|||
|540474|||20,0000000000000000|||
|540480|||20,0000000000000000|||
|541175|||20,0000000000000000|||
|541353|||20,0000000000000000|||
|545436|||20,0000000000000000|||
|546694|||20,0000000000000000|||
|547446|||21,5000000000000000|||
|549573|||20,0000000000000000|||
|563302|||20,0000000000000000|||
|574716|||20,0000000000000000|||
|578311|||20,0000000000000000|||
|578541|||20,0000000000000000|||
|588740|||20,0000000000000000|||
|60597|||21,5000000000000000|||
|621952|||20,0000000000000000|||
|62317|||20,0000000000000000|||
|646921|||19,0000000000000000|||
|64826|||29,5000000000000000|||
|64929|||20,0000000000000000|||
|83843|||20,0000000000000000|||
|83844|||20,0000000000000000|||
|86775|||25,0000000000000000|||
||00000||||after tax|5,00000000000000000000
||04193||||after tax|5,00000000000000000000
||10115||||after tax|5,00000000000000000000
||10117||||after tax|5,00000000000000000000
||10119||||after tax|5,00000000000000000000
||10149||||after tax|5,00000000000000000000
||10177||||after tax|5,00000000000000000000
||10178||||after tax|5,00000000000000000000
||10179||||after tax|5,00000000000000000000
||10243||||after tax|5,00000000000000000000
||10245||||after tax|5,00000000000000000000
||10247||||after tax|5,00000000000000000000
||10249||||after tax|5,00000000000000000000
||10315||||after tax|5,00000000000000000000
||10317||||after tax|5,00000000000000000000
||10318||||after tax|5,00000000000000000000
||10319||||after tax|5,00000000000000000000
||10365||||after tax|5,00000000000000000000
||10367||||after tax|5,00000000000000000000
||10369||||after tax|5,00000000000000000000
||10405||||after tax|5,00000000000000000000
||10407||||after tax|5,00000000000000000000
||10409||||after tax|5,00000000000000000000
||10435||||after tax|5,00000000000000000000
||10437||||after tax|5,00000000000000000000
||10439||||after tax|5,00000000000000000000
||10551||||after tax|5,00000000000000000000
||10553||||after tax|5,00000000000000000000
||10555||||after tax|5,00000000000000000000
||10557||||after tax|5,00000000000000000000
||10559||||after tax|5,00000000000000000000
||10585||||after tax|5,00000000000000000000
||10587||||after tax|5,00000000000000000000
||10589||||after tax|5,00000000000000000000
||10595||||after tax|5,00000000000000000000
||10623||||after tax|5,00000000000000000000
||10625||||after tax|5,00000000000000000000
||10627||||after tax|5,00000000000000000000
||10629||||after tax|5,00000000000000000000
||10635||||after tax|5,00000000000000000000
||10637||||after tax|5,00000000000000000000
||10707||||after tax|5,00000000000000000000
||10709||||after tax|5,00000000000000000000
||10711||||after tax|5,00000000000000000000
||10713||||after tax|5,00000000000000000000
||10715||||after tax|5,00000000000000000000
